phase,concurrency,t_rel_s,watt,gpu_use_pct,mclk_mhz,sclk_mhz,fclk_mhz,socclk_mhz
idle,0,0,16,0,96,0,145,500
idle,0,2,16,0,96,0,145,500
idle,0,4,16,0,96,0,145,500
idle,0,6,16,0,96,0,145,500
idle,0,8,16,0,96,0,145,500
idle,0,10,16,0,96,0,145,500
idle,0,12,16,0,96,0,145,500
idle,0,14,16,0,96,0,145,500
idle,0,16,16,0,96,0,145,500
idle,0,18,16,0,96,0,145,500
idle,0,20,16,0,96,0,145,500
idle,0,22,16,0,96,0,145,500
idle,0,24,16,0,96,0,145,500
idle,0,26,16,0,96,0,145,500
idle,0,28,16,0,96,0,145,500
idle,0,30,16,0,96,0,145,500
load,1,0,16,0,96,0,145,500
load,4,0,16,0,96,0,145,500
load,16,0,16,0,96,0,145,500
